"abra_license"	"dcra_num"	"trade_name"	"abra_class"	"abra_endorsements"	"abra_status"	"dcra_status"	"category"	"dcra_start"	"dcra_exp"	"dcra_issue"	"address"	"city"	"state"	"zip"	"ward"	"anc"	"mpd_dist"	"lat"	"lng"
	"39934730"	"JEM & ASSOC., INC."				"READY TO BATCH PRINT"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-05T00:00:00.000Z"	"2616 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20008"	"3"	"3C"	"SECOND"	"38.924135"	"-77.052276"
	"931314000101"	"Jessica Ivascu"				"ACTIVE"	"Restaurant"	"2016-02-01T00:00:00.000Z"	"2018-01-31T00:00:00.000Z"	"2015-12-17T00:00:00.000Z"	"400 MARYLAND AVENUE SW"	"WASHINGTON"	"DC"	"20202"	"6"	"6D"	"FIRST"	"38.886485"	"-77.018728"
	"67003764"	"JETTIES, INC."				"ACTIVE"	"Restaurant"	"2015-07-01T00:00:00.000Z"	"2017-06-30T00:00:00.000Z"	"2015-05-12T00:00:00.000Z"	"1609 FOXHALL ROAD NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3D"	"SECOND"	"38.911287"	"-77.084026"
"ABRA-025546"	"39802893"	"JHM LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-01T00:00:00.000Z"	"5247 WISCONSIN AVENUE NW"	"WASHINGTON"	"DC"	"20015"	"3"	"3E"	"SECOND"	"38.958758"	"-77.084368"
"ABRA-025546"	"39802893"	"JHM LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-01T00:00:00.000Z"	"5247 WISCONSIN AVENUE NW"	"WASHINGTON"	"DC"	"20015"	"3"	"3E"	"SECOND"	"38.958758"	"-77.084368"
	"931314000296"	"JHSJ Inc."				"ACTIVE"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2014-09-30T00:00:00.000Z"	"400 VIRGINIA AVENUE SW"	"WASHINGTON"	"DC"	"20024"	"6"	"6D"	"FIRST"	"38.884242"	"-77.018165"
	"931314000296"	"JHSJ Inc."				"READY TO RENEW"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2016-05-06T00:00:00.000Z"	"400 VIRGINIA AVENUE SW"	"WASHINGTON"	"DC"	"20024"	"6"	"6D"	"FIRST"	"38.884242"	"-77.018165"
	"931314000068"	"Jimmy Johns; Chris Glinski"				"ACTIVE"	"Restaurant"	"2015-12-01T00:00:00.000Z"	"2017-11-30T00:00:00.000Z"	"2015-11-24T00:00:00.000Z"	"1717 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2B"	"SECOND"	"38.899463"	"-77.040391"
"ABRA-088772"	"69007928"	"JJA INCORPORATED"	"C"		"Active"	"TRANSFERRED"	"Restaurant"	"2011-09-01T00:00:00.000Z"	"2013-08-31T00:00:00.000Z"	"2012-05-29T00:00:00.000Z"	"2471 18TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.922279"	"-77.042252"
"ABRA-091059"	"931314000054"	"JMDC RHODE ISLAND LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-12-01T00:00:00.000Z"	"2017-11-30T00:00:00.000Z"	"2015-11-07T00:00:00.000Z"	"2300 WASHINGTON PLACE NE"	"WASHINGTON"	"DC"	"20018"	"5"	"5B"	"FIFTH"	"38.920417"	"-76.99544"
"ABRA-091061"	"931314000054"	"JMDC RHODE ISLAND LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-12-01T00:00:00.000Z"	"2017-11-30T00:00:00.000Z"	"2015-11-07T00:00:00.000Z"	"2300 WASHINGTON PLACE NE"	"WASHINGTON"	"DC"	"20018"	"5"	"5B"	"FIFTH"	"38.920417"	"-76.99544"
	"931313000281"	"JMU TAX & FINANCIAL; Shafin"				"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-05-19T00:00:00.000Z"	"2120 18TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.918549"	"-77.041878"
	"931314000082"	"JOE'S OF DC LLC"				"ACTIVE"	"Restaurant"	"2016-01-01T00:00:00.000Z"	"2017-12-31T00:00:00.000Z"	"2016-01-13T00:00:00.000Z"	"740 15TH STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2B"	"SECOND"	"38.899919"	"-77.033929"
"ABRA-093894"	"931314000138"	"JOE'S OF DC LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-04T00:00:00.000Z"	"750 15TH STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2B"	"SECOND"	"38.900019"	"-77.03392"
"ABRA-025996"	"39305884"	"JOHANAS INC."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-09T00:00:00.000Z"	"4728 14TH STREET NW"	"WASHINGTON"	"DC"	"20011"	"4"	"4C"	"FOURTH"	"38.948007"	"-77.033067"
"ABRA-025996"	"39305884"	"JOHANAS INC."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-09T00:00:00.000Z"	"4728 14TH STREET NW"	"WASHINGTON"	"DC"	"20011"	"4"	"4C"	"FOURTH"	"38.948007"	"-77.033067"
"ABRA-020060"	"67002537"	"JOHNNY ROCKETS GROUP INC (THE)"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-05-01T00:00:00.000Z"	"2017-04-30T00:00:00.000Z"	"2015-04-03T00:00:00.000Z"	"2000 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2A"	"SECOND"	"38.900355"	"-77.045776"
"ABRA-081606"	"39806608"	"JOHNNY ROCKETS GROUP, INC. (THE)"	"C"		"Safekeeping"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-17T00:00:00.000Z"	"3131 M STREET NW"	"WASHINGTON"	"DC"	"20007"	"2"	"2E"	"SECOND"	"38.9054"	"-77.062029"
"ABRA-081606"	"39806608"	"JOHNNY ROCKETS GROUP, INC. (THE)"	"C"		"Safekeeping"	"READY TO BATCH PRINT"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-05T00:00:00.000Z"	"3131 M STREET NW"	"WASHINGTON"	"DC"	"20007"	"2"	"2E"	"SECOND"	"38.9054"	"-77.062029"
"ABRA-060206"	"65001818"	"JOHNNY'S DELI"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-03-19T00:00:00.000Z"	"601 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"6C"	"FIRST"	"38.893299"	"-77.020501"
"ABRA-086339"	"65001818"	"JOHNNY'S DELI"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-03-19T00:00:00.000Z"	"601 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"6C"	"FIRST"	"38.893299"	"-77.020501"
"ABRA-074573"	"66005539"	"JOHNNY'S HALF SHELL"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-09-01T00:00:00.000Z"	"2016-08-31T00:00:00.000Z"	"2014-08-28T00:00:00.000Z"	"400 NORTH CAPITOL STREET NW"	"WASHINGTON"	"DC"	"20001"	"6"	"6C"	"FIRST"	"38.895397"	"-77.009598"
	"931311003529"	"JOHNNY'S RESTAURANT"				"ACTIVE"	"Restaurant"	"2015-09-01T00:00:00.000Z"	"2017-08-31T00:00:00.000Z"	"2015-07-07T00:00:00.000Z"	"1913 MICHIGAN AVENUE NE"	"WASHINGTON"	"DC"	"20018"	"5"	"5A"	"FIFTH"	"38.945552"	"-76.978042"
"ABRA-060737"	"53007018"	"JOJO RESTAURANT / BAR"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-29T00:00:00.000Z"	"1518 U STREET NW"	"WASHINGTON"	"DC"	"20009"	"2"	"2B"	"THIRD"	"38.916838"	"-77.035383"
"ABRA-099452"	"931315000150"	"JOSE ACOSTA"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-04-30T00:00:00.000Z"	"1917 18TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"2"	"2B"	"THIRD"	"38.916082"	"-77.041419"
	"931315000168"	"JOSELYN RESTAURANT BAR & LOUNGE"				"ACTIVE"	"Restaurant"	"2015-05-01T00:00:00.000Z"	"2017-04-30T00:00:00.000Z"	"2015-05-22T00:00:00.000Z"	"3303 GEORGIA AVENUE NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"THIRD"	"38.931441"	"-77.023316"
	"931312000236"	"JOSEPH K & COMPANY"				"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-19T00:00:00.000Z"	"2100 MARTIN LUTHER KING JR AVENUE SE"	"WASHINGTON"	"DC"	"20020"	"8"	"8A"	"SEVENTH"	"38.865438"	"-76.989238"
"ABRA-025982"	"39803863"	"JOYOTI FOODS INC."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-09T00:00:00.000Z"	"2433 18TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.921377"	"-77.041941"
"ABRA-025982"	"39803863"	"JOYOTI FOODS INC."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-09T00:00:00.000Z"	"2433 18TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.921377"	"-77.041941"
	"931315000106"	"JP LLC"				"ACTIVE"	"Restaurant"	"2015-02-01T00:00:00.000Z"	"2017-01-31T00:00:00.000Z"	"2015-02-23T00:00:00.000Z"	"1431 G STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"SECOND"	"38.898512"	"-77.03277"
	"931311003434"	"JPG DC LLC"				"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-02-13T00:00:00.000Z"						"NONE"		"0"	"0"
	"931312000078"	"JTC, INC."				"ACTIVE"	"Restaurant"	"2015-12-01T00:00:00.000Z"	"2017-11-30T00:00:00.000Z"	"2015-11-09T00:00:00.000Z"	"1001 2ND STREET SE"	"WASHINGTON"	"DC"	"20003"	"6"	"6D"	"FIRST"	"38.877729"	"-77.003692"
"ABRA-091432"	"931313000186"	"JUANITA'S INC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2016-03-28T00:00:00.000Z"	"3521 14TH STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"FOURTH"	"38.935547"	"-77.032428"
"ABRA-091432"	"931313000186"	"JUANITA'S INC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2016-03-28T00:00:00.000Z"	"3521 14TH STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"FOURTH"	"38.935547"	"-77.032428"
	"931312000202"	"JUDICIARY GOLDEN FOODS, LLC"				"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-21T00:00:00.000Z"	"450 5TH STREET NW"	"WASHINGTON"	"DC"	"20001"	"2"	"6C"	"FIRST"	"38.895608"	"-77.019298"
	"931312000202"	"JUDICIARY GOLDEN FOODS, LLC"				"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-21T00:00:00.000Z"	"450 5TH STREET NW"	"WASHINGTON"	"DC"	"20001"	"2"	"6C"	"FIRST"	"38.895608"	"-77.019298"
	"40003189"	"JULFAK INC"				"ACTIVE"	"Restaurant"	"2016-06-01T00:00:00.000Z"	"2018-05-31T00:00:00.000Z"	"2016-04-29T00:00:00.000Z"	"1444 I STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"SECOND"	"38.90102"	"-77.032747"
	"40003189"	"JULFAK INC"				"READY TO RENEW"	"Restaurant"	"2014-06-01T00:00:00.000Z"	"2016-05-31T00:00:00.000Z"	"2016-03-10T00:00:00.000Z"	"1444 I STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"SECOND"	"38.90102"	"-77.032747"
"ABRA-007880"	"50007103"	"JUMBO SEAFOOD RESTAURANT INC."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-17T00:00:00.000Z"	"619 H STREET NW"	"WASHINGTON"	"DC"	"20001"	"2"	"2C"	"FIRST"	"38.900107"	"-77.020784"
"ABRA-011730"	"50007103"	"JUMBO SEAFOOD RESTAURANT INC."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-17T00:00:00.000Z"	"619 H STREET NW"	"WASHINGTON"	"DC"	"20001"	"2"	"2C"	"FIRST"	"38.900107"	"-77.020784"
"ABRA-007880"	"50007103"	"JUMBO SEAFOOD RESTAURANT INC."	"C"		"Active"	"READY TO BATCH PRINT"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-31T00:00:00.000Z"	"619 H STREET NW"	"WASHINGTON"	"DC"	"20001"	"2"	"2C"	"FIRST"	"38.900107"	"-77.020784"
"ABRA-011730"	"50007103"	"JUMBO SEAFOOD RESTAURANT INC."	"C"		"Active"	"READY TO BATCH PRINT"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-31T00:00:00.000Z"	"619 H STREET NW"	"WASHINGTON"	"DC"	"20001"	"2"	"2C"	"FIRST"	"38.900107"	"-77.020784"
"ABRA-060380"	"931316000032"	"JUMBO SLICE PIZZA"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-11-01T00:00:00.000Z"	"2017-10-31T00:00:00.000Z"	"2015-11-25T00:00:00.000Z"	"1344 U STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.916745"	"-77.031301"
"ABRA-073951"	"65000856"	"JUN KING PROVISIONS , INC."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-02-01T00:00:00.000Z"	"2017-01-31T00:00:00.000Z"	"2015-01-30T00:00:00.000Z"	"509 H STREET NW"	"WASHINGTON"	"DC"	"20001"	"2"	"6C"	"FIRST"	"38.900003"	"-77.019336"
"ABRA-083690"	"70102402"	"JUSTIN'S CAFE LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-03-01T00:00:00.000Z"	"2018-02-28T00:00:00.000Z"	"2016-02-25T00:00:00.000Z"	"1025 1ST STREET SE"	"WASHINGTON"	"DC"	"20003"	"6"	"6D"	"FIRST"	"38.877784"	"-77.006189"
"ABRA-076330"	"67004004"	"JVLHC LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-07-01T00:00:00.000Z"	"2017-06-30T00:00:00.000Z"	"2015-11-25T00:00:00.000Z"	"1103 BLADENSBURG ROAD NE"	"WASHINGTON"	"DC"	"20002"	"5"	"5B"	"FIFTH"	"38.903914"	"-76.980601"
"ABRA-007255"	"931312000217"	"JW MARRIOTT HOTEL"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-27T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-060171"	"931312000217"	"JW MARRIOTT HOTEL"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-27T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-007255"	"931312000216"	"JW MARRIOTT HOTEL"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-29T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-060171"	"931312000216"	"JW MARRIOTT HOTEL"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-29T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-007255"	"931312000215"	"JW MARRIOTT HOTEL"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-27T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-060171"	"931312000215"	"JW MARRIOTT HOTEL"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-27T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-007255"	"931312000216"	"JW MARRIOTT HOTEL"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-29T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-060171"	"931312000216"	"JW MARRIOTT HOTEL"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-29T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-007255"	"931312000221"	"JW MARRIOTT WASHINGTON DC"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-27T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-060171"	"931312000221"	"JW MARRIOTT WASHINGTON DC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-27T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-007255"	"68002578"	"JW MARRIOTT WASHINGTON DC"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-29T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-060171"	"68002578"	"JW MARRIOTT WASHINGTON DC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-29T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-007255"	"68002578"	"JW MARRIOTT WASHINGTON DC"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-29T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-060171"	"68002578"	"JW MARRIOTT WASHINGTON DC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-29T00:00:00.000Z"	"1331 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.896368"	"-77.031372"
"ABRA-077111"	"67007171"	"K & D, LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-12-01T00:00:00.000Z"	"2017-11-30T00:00:00.000Z"	"2016-01-28T00:00:00.000Z"	"1720 14TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"2"	"2F"	"THIRD"	"38.913323"	"-77.032386"
"ABRA-072225"	"931312000084"	"K STREET LOUNGE"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-02-01T00:00:00.000Z"	"2018-01-31T00:00:00.000Z"	"2015-12-23T00:00:00.000Z"	"1301 K STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"FIRST"	"38.902926"	"-77.030521"
"ABRA-090830"	"931313000269"	"KABIN GROUP LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-07-01T00:00:00.000Z"	"2017-06-30T00:00:00.000Z"	"2016-01-15T00:00:00.000Z"	"1337 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.908286"	"-77.042228"
"ABRA-091276"	"931313000269"	"KABIN GROUP LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-07-01T00:00:00.000Z"	"2017-06-30T00:00:00.000Z"	"2016-01-15T00:00:00.000Z"	"1337 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.908286"	"-77.042228"
"ABRA-089161"	"931312000177"	"KANGAROO BOXING LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-30T00:00:00.000Z"	"3410 11TH STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"THIRD"	"38.932143"	"-77.028536"
"ABRA-089161"	"931312000177"	"KANGAROO BOXING LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-30T00:00:00.000Z"	"3410 11TH STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"THIRD"	"38.932143"	"-77.028536"
	"931315000065"	"Kate Keplinger"				"ACTIVE"	"Restaurant"	"2014-12-01T00:00:00.000Z"	"2016-11-30T00:00:00.000Z"	"2015-01-05T00:00:00.000Z"	"200 DOUGLAS STREET NE"	"WASHINGTON"	"DC"	"20002"	"5"	"5C"	"FIFTH"	"38.923685"	"-77.002764"
"ABRA-071036"	"39901729"	"KAZ SUSHI BISTRO"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-31T00:00:00.000Z"	"1915 I STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2B"	"SECOND"	"38.90159"	"-77.044262"
"ABRA-071036"	"39901729"	"KAZ SUSHI BISTRO"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-31T00:00:00.000Z"	"1915 I STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2B"	"SECOND"	"38.90159"	"-77.044262"
"ABRA-007916"	"931316000069"	"KCC ENTERTAINMENT INC."	"C"		"Safekeeping"	"ACTIVE"	"Restaurant"	"2016-01-01T00:00:00.000Z"	"2017-12-31T00:00:00.000Z"	"2016-01-27T00:00:00.000Z"	"2434 18TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.921503"	"-77.042558"
"ABRA-024613"	"39607275"	"KELEMEWA CORPORATION"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-07T00:00:00.000Z"	"1326 U STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.916791"	"-77.030738"
	"931316000105"	"Kelly Byorick"				"ACTIVE"	"Restaurant"	"2016-03-01T00:00:00.000Z"	"2018-02-28T00:00:00.000Z"	"2016-03-09T00:00:00.000Z"	"1375 KENYON STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"THIRD"	"38.929851"	"-77.031851"
	"931316000105"	"Kelly Byorick"				"ACTIVE"	"Restaurant"	"2016-03-01T00:00:00.000Z"	"2018-02-28T00:00:00.000Z"	"2016-03-09T00:00:00.000Z"	"1375 KENYON STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"THIRD"	"38.929851"	"-77.031851"
"ABRA-079523"	"68006934"	"KELLY'S MICHIGAN PARK"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-11-01T00:00:00.000Z"	"2016-10-31T00:00:00.000Z"	"2014-10-24T00:00:00.000Z"	"3908 12TH STREET NE"	"WASHINGTON"	"DC"	"20017"	"5"	"5A"	"FIFTH"	"38.937572"	"-76.990758"
"ABRA-000939"	"50005822"	"KELLYS IRISH TIMES"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-18T00:00:00.000Z"	"14 F STREET NW"	"WASHINGTON"	"DC"	"20001"	"6"	"6C"	"FIRST"	"38.897028"	"-77.009783"
"ABRA-071753"	"64003222"	"KENNEDY WARREN CLUB, LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-09-01T00:00:00.000Z"	"2016-08-31T00:00:00.000Z"	"2014-08-26T00:00:00.000Z"	"3133 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20008"	"3"	"3C"	"SECOND"	"38.931922"	"-77.055482"
"ABRA-099385"	"931315000189"	"KENNY'S SMOKE HOUSE"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-06-18T00:00:00.000Z"	"732 MARYLAND AVENUE NE"	"WASHINGTON"	"DC"	"20002"	"6"	"6C"	"FIRST"	"38.895638"	"-76.995166"
